id,writer
10731,"[b'Akiva Goldsman', b'Robert Getchell']"
10464,[b'Jessie Nelson']
34152,[]
9495,"[b'David J. Schow', b'John Shirley']"
29973,[]
888,"[b'Tom S. Parker', b'Jim Jennewein', b'Steven E. de Souza', b'R.S. Allen', b'Harvey Bullock']"
13,[b'Eric Roth']
712,[b'Richard Curtis']
16295,[]
48992,[]
10879,"[b'Charles Shyer', b'Nancy Meyers']"
10660,[b'Jane Anderson']
10714,"[b'Stephen Sommers', b'Ronald Yanover', b'Mark Geldman']"
41647,[]
8587,"[b'Jonathan Roberts', b'Linda Woolverton', b'Irene Mecchi']"
1689,[]
11596,[b'Wes Craven']
854,[b'Mike Werb']
9359,[]
23333,[]
36593,[]
12280,"[b'David Koepp', b'Stephen Koepp']"
2788,[b'Helen Childress']
10427,"[b'John Dahl', b'Rick Dahl']"
11011,"[b'Tom S. Parker', b'Jim Jennewein']"
49803,[b'Deena Goldstone']
8987,"[b""Denis O'Neill""]"
1637,[b'Graham Yost']
15128,[b'Robert King']
8831,[b'Mark Verheiden']
36955,[b'James Cameron']
10449,"[b'Ronald Bass', b'Al Franken']"
10395,"[b'Wesley Strick', b'Jim Harrison']"
12160,"[b'Lawrence Kasdan', b'Dan Gordon']"
40480,[]
52038,[b'Barry Devlin']
29444,"[b'Danny Rubin', b'Jefery Levy']"
26352,[]
39953,[]
41580,"[b'Jean Cosmos', b'Yves Angelo']"
315,"[b'Russ Meyer', b'Jack Moran']"
22067,[b'Bobby Smith Jr.']
18242,[]
11667,[b'Steven E. de Souza']
32502,[]
267188,[]
28732,"[b'Steve Alden', b'Paul Skemp']"
75555,[]
42981,[]
278939,[b'John Warren']
291731,[b'Mark Medoff']
226229,[]
203119,[b'Robert Wuhl']
172923,[]
316098,[]
8011,[b'Paul Ohl']
171857,[]
2654,[b'Michael De Luca']
18069,[]
19092,[]
2758,[b'Paul Rudnick']
38129,[]
10436,"[b'Jay Cocks', b'Martin Scorsese']"
13595,[]
46094,[]
9409,"[b'Lynn Kouf', b'Jim Kouf']"
11853,[b'Ken Friedman']
16771,[b'Whit Stillman']
46924,[]
11041,"[b'Lawrence Konner', b'Mark Rosenthal', b'Jim Fisher', b'Jim Staahl']"
306,"[b'Danilo Bach', b'Daniel Petrie, Jr.']"
14522,[b'Caroline Thompson']
26203,[b'Dana Stevens']
178,[]
19819,[]
57834,"[b'Rama Laurie Stagner', b'Arlene Sarner', b'Jerry Leichtling']"
4722,"[b'Raymond Cistheri', b'Larry Cohen', b'Stuart Gordon', b'Dennis Paoli', b'Nicholas St. John']"
18215,[b'Jennifer Chambers Lynch']
1607,[b'Chazz Palminteri']
26391,[b'Adam Resnick']
117553,[]
6075,[b'David Koepp']
11310,[b'Billy Crystal']
18658,[]
9350,"[b'Michael France', b'Sylvester Stallone']"
9612,"[b'Dan Aykroyd', b'Bonnie Turner', b'Terry Turner', b'Tom Davis']"
2124,"[b'Billy Ray', b'Matthew Chapman']"
26261,[]
19176,[b'William D. Wittliff']
49299,[b'Nicholas St. John']
11566,[b'Gary Ross']
9571,[b'Richard Linklater']
9739,"[b'Daniel Waters', b'Peter M. Lenkov', b'Robert Reneau']"
